source,mean_velocity,max_velocity,mean_acceleration,max_acceleration,mean_jerk,max_jerk,std_velocity,std_acceleration,std_jerk,label
float_2025-05-04_13-35-40_pose_overlay_keypoints,6.000252122118013,25.661522870743894,91.1191376891077,371.5626718087521,1585.6130316015372,6869.71694634262,4.620115112159375,74.33308778251411,1304.9044068838057,float
float_2025-05-02_14-09-08_pose_overlay_keypoints,2.8264299256008036,12.252276014227455,40.71921941364251,146.49280955238584,687.9643802135813,2512.880396902222,2.1599023787550036,29.638007535503277,506.2385423511518,float
float_2025-04-30_12-08-53_keypoints,3.2196452565166567,17.438874458702358,46.09043551809943,265.03786630978533,762.1416451465836,3945.975902709425,3.0764722134812184,44.50142065552512,703.6288689943024,float
float_2025-05-02_14-09-58_pose_overlay_keypoints,3.1114869672162473,17.513749550858137,48.718574378153264,315.3776766557243,813.4240632045066,4913.212154084767,3.127693980669111,46.36691678763076,789.8843310531422,float
float_2025-04-30_12-08-25_keypoints,1.9637715074899487,6.554073925139243,25.830674505475905,78.73631692575727,450.0041940908289,1407.8799977969481,1.1154860788436913,17.438500963729695,310.0015689617024,float
float_2025-05-02_14-09-49_pose_overlay_keypoints,2.9817807888727894,14.334988398333422,46.434939672705084,231.7448635316661,792.7673634296171,4178.042340192553,2.175517125267402,34.66736443650657,659.1306716952353,float
punch_2025-05-04_13-36-48_pose_overlay_keypoints,10.098297874842343,38.425671325142815,153.63028908487422,547.6545386390843,2626.2337655189435,8523.160485936454,7.9002928652807025,110.44258160238334,1908.4945214039728,punch
punch_2025-05-02_14-10-53_pose_overlay_keypoints,10.836105677697487,40.08892390230711,155.6945939426723,576.8240261376948,2636.0982563256225,10355.236730121438,7.770384138463734,112.19298245455148,1941.7632466643497,punch
punch_2025-04-30_15-50-30_pose_overlay_keypoints,4.936689918724086,25.800927794800028,70.51619628711002,318.9863130718886,1193.4331984373198,5888.943626708262,5.093249009818579,67.55570714749929,1134.2948533389429,punch
punch_2025-05-04_13-37-14_pose_overlay_keypoints,11.074362065374688,38.15422218815687,171.14648642347683,680.7450091425641,3037.894958886582,11601.670324361135,7.922124810814264,134.09880036792237,2420.7061609915545,punch
